网恋被钓一万次,赶紧禁止🚫 选秀,3560
顶流观众,趁机整顿一下选秀节目吧，太闹腾了,3455
圆圆的奥尔特星云,打平台，打企业，别忘了背后的资本推手。不打他们，换个皮还会再来,1850
我要操死我自己,无论什么原因 ，倒牛奶本身就是不对，平台打投机制就有问题。,1121
遁入空门小清新,你这个封面新闻你放一个粉丝捐奶的人放在封面？？？？你有没有心？？？？！！！！,908
密涅瓦黄昏下的漫游者,少站在制高点骂秀芬了。但凡记者用心调查过，就会发现27w的数字是豆瓣随便说的。做过奶票代投的也都知道，奶见都没见过，全部是转好的二维码。青三创四用的是同一个出卡网站，那蒙牛又凭什么隐形？有记者去查奶卡这条产业链吗，娱乐圈的虚拟货币还不懂吗？没有，大家只会怪臆想中的秀芬浪费粮食 ,664
Nietzsche爻,提一嘴 您放的封面罗一舟 据我了解粉丝后援会组织把奶拿去做公益了  ,670
念颦思湘,还有那个人父母涉黄涉毒，也报一下，现在都没人提了。,409
草莓蓝衬衫,罗一舟这是倒了什么霉，父母非法经营疑似涉h涉d双国籍的不是他！！！不是他！！粉丝倒奶的也不是他，粉丝倒奶这事儿到底是谁，居然没人调查？没头没尾一个视频一杆子轮了所有秀人秀芬 ,363
橙子shinhwa,干嘛放罗一舟啊他做错什么了让你们拿他当挡箭牌？？？气死了,273
Sako刺耳,把罗一舟视频去掉谢谢🙏,208
lxf芒果街上的小屋,去年就发生的事为啥不整改换包装  今年事闹大了知道出来了 怎么那么绿茶啊 呸,177
变身少女镜镜子,你们做媒体的，不是应该深入调查一下整个选秀打投黑色产业链吗？为什么赞助商投票没有上限？为什么会有二维码卖到粉丝手上？桃叭，owhat这种集资app在里面起到什么作用？为什么要集资买二维码？你们只会搬运豆瓣上面的热点 ,168
亲亲我宝贝小船,你放一个在事情被爆之前之前粉丝就已经组织把奶捐给福利院的人做封面，良心不会痛吗 ,151
宝贝木醒,都是群神经病，追也追点像样的，这一个个男人不像男人，女人不像女人的，这都什么审美，关键时候能干啥 ,98
白大妞PEL,主要也是不好喝,59
Gotxing0116,拜托罗一舟后援会把奶拿去做公益了，不要放罗一舟,64
小王可帅了,一群长得都差不多，看得脸盲症发作，粉底比姑娘还厚重的小伙子们…歇歇吧,58
罗一舟是我初恋,罗一舟粉丝早在428就已经公示了真果粒的捐赠事宜，前期计划筹备只能是更早更早之前，而且后续还有更多公益事业正在准备，一定会妥善处理做好表率 拒绝饭圈纷争泼脏水，希望大家都能正能量追星！,48
兜兜啊兜兜呀,投票机制就有问题,32
一条整天冲浪的咸鱼,个人感觉没必要把矛头全指向秀粉，最大的问题还是资本及其背后的推手，黄牛应该怎么整顿，饭圈目前需要相关部门出来整顿的地方很多，而不是一直抓着粉丝这一边不断地骂,31
十音朝曦,不接受道歉,24
wuli德善呐_,为什么放罗一舟！？你好像有那个大病。,31
紅領白衣,痛心个屁，就是痛心自己生意没了,19
橘子味气泡水不太甜,那个，麻烦以后少弄点团体选秀节目，感觉出道就凉凉,19
饼干Ashley-,这选秀越来越多了 说真的 我都不知道是干嘛来着 跟演戏似的,12
张叫兽Tony,上面不发话，平台不作为…… 希望好好管管现在各种秀,5
星星的果酱罐bling,这节目会凉嘛 ,8
我佛不渡憨批hhhh,不行就把选秀禁了吧！,15
英格拉姆菜到抠脚,爱奇艺就喜欢搞些助力。去年喝战马 今年喝奶,10
